"KEY","ENGLISH","SWEDISH"
"Start","Start","Start"
"StartGame","Start game","Starta spelet"
"SelectSong","Select song","Välj låt"
"SongSelection","Song Selection","Låtval"
"SelectedSong","You selected song is","Din valda låt är"
"SongLength","Song length","Längd på låten"
"Seconds","Seconds","Sekunder"
"Profile","Profile","Profil"
"Username","Username","Användarnamn"
"EnterName","Enter Username","Skapa Användarnamn"
"Input","Write username","Skriv användarnamn"
"SubmitName","Submit","Spara"
"TapMeToBegin","Tap to begin!","Klicka för att börja!"
"Score","Score:","Poäng:"
"ScorePerfect","Perfect","Perfekt"
"ScoreGood","Good","Bra"
"ScoreBad","Bad","Dåligt"
"ScoreMiss","Miss","Miss"
"TextLosing","<b>You lost!</b> <br> You missed too many souls!","Du förlorade"
"TextLosing1","You missed too many souls","Du missade för många själar"
"Restart","Restart","Spela igen"
"MainMenu","Main menu","Huvudmeny"
"WinningText","<b>Congratulations!</b>\n You've finished the song!","<b>Grattis!</b> Du har klarat låten"
"Language","Language","Språk"
"ChangeLanguage","Change Language","Byt Språk"
"Resume","Resume","Fortsätt spela"
"Settings","Settings","Inställningar"
"SettingsText","Use your device's default frame rate on mobile? (Use if you experience battery drain or lag spikes in gameplay)","Använd din enhets standardbildfrekvens på mobilen? (Använd om du snabbt förlorar batteri eller upplever lagg i spelet)"
"Volume","Volume","Volym"
"Music","Music","Musik"
"Effects","Effects","Effekter"
"Calibration","Calibration","Kalibrering"
"CalibrateSound","Calibrate sound","Kalibrera ljud"
"StartCalibration","Start Calibration","Starta kalibrering"
"CalibrationText","Match your clicks on the Now button to the metronome sound","Matcha dina klick på Nu-knappen till metronomljudet"
"Now","Now","Nu"
"CalibrationText2","You clicked too few times during the test","Du klickade för få gånger under testet"
"Redo","Redo?","Gör om?"
"CalibrationText3","You have a soundlatency of","Du har en ljudfördröjning på"
"Milliseconds","ms","ms"
"RemoveCalibration","Remove calibration","Ta bort kalibrering"
"CalibrationLatency","Calibration latency","Ljudlatens"
"Leaderboard","Leaderboard","Ledartavla"
"GetLeaderboard","Get Leaderboard","Hämta Ledartavla"
"Name","Name","Namn"
"Place","Place","Plats"
"SongDifficulty","Difficulty","Svårighetsgrad"
